Kennziffer;Raumeinheit;Aggregat;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung
"03455";"Friesland";"Landkreis";"79,9";"82,1";"79,6";"77,7";"71,4";"72,5";"75,2"
"03456";"Grafschaft Bentheim";"Landkreis";"82,3";"84,1";"81,4";"79,6";"73,1";"73,6";"76,7"
"03457";"Leer";"Landkreis";"78,2";"81,8";"77,9";"76,3";"69,5";"70,4";"73,7"
"03458";"Oldenburg";"Landkreis";"80,8";"83,3";"81,1";"79,9";"74,1";"75,0";"78,3"
"03459";"Osnabrück";"Landkreis";"83,4";"85,0";"81,9";"79,8";"73,8";"73,7";"76,5"
"03460";"Vechta";"Landkreis";"82,0";"83,7";"81,2";"78,6";"72,0";"72,5";"75,8"
"03461";"Wesermarsch";"Landkreis";"78,2";"81,0";"77,8";"74,8";"68,9";"67,7";"71,9"
"03462";"Wittmund";"Landkreis";"75,7";"78,5";"76,3";"73,7";"66,7";"68,4";"72,4"
"04011";"Bremen, Stadt";"krsfr. Stadt";"78,1";"81,9";"78,7";"75,2";"70,6";"69,1";"71,5"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"73,9";"77,8";"74,3";"70,8";"63,9";"63,0";"63,1"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"78,3";"80,8";"78,9";"76,7";"70,5";"72,7";"76,0"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"76,8";"80,3";"75,3";"73,2";"63,9";"66,5";"67,5"
"05113";"Essen, Stadt";"krsfr. Stadt";"77,4";"81,2";"77,1";"76,5";"69,0";"70,6";"73,3"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"76,9";"79,9";"75,9";"73,9";"67,4";"68,0";"70,9"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"74,6";"77,6";"73,5";"71,5";"63,2";"65,4";"68,7"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"81,7";"84,4";"81,1";"79,8";"72,9";"74,3";"76,9"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"78,2";"80,8";"76,4";"75,7";"67,6";"68,4";"71,3"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"77,9";"80,9";"76,3";"74,4";"68,1";"68,2";"71,2"
"05122";"Solingen, Stadt";"krsfr. Stadt";"79,0";"81,3";"77,9";"76,1";"69,3";"70,1";"72,1"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"78,6";"81,5";"77,0";"75,2";"67,3";"68,7";"72,5"
"05154";"Kleve";"Landkreis";"80,5";"82,9";"79,4";"76,8";"69,3";"70,9";"74,2"
"05158";"Mettmann";"Landkreis";"81,6";"84,4";"81,5";"79,2";"72,6";"74,0";"77,0"
"05162";"Rhein-Kreis Neuss";"Landkreis";"81,6";"84,0";"81,4";"78,7";"72,1";"73,9";"76,6"
